date,exchange,base,target,volume,last_price,bid_ask_spread,crypto_id,crypto_name
2025-11-13,binance,BTC,USDC,4874.79282,101544.48,0.01001,usd-coin,USDC
2025-11-13,binance,ETH,USDC,138862.1933,3409.89,0.010293,usd-coin,USDC
2025-11-13,binance,SOL,USDC,1153309.124,153.11,0.016531,usd-coin,USDC
2025-11-13,binance,XRP,USDC,46099129.8,2.3863,0.01419,usd-coin,USDC
2025-11-13,kraken,USDC,USD,56528514.93280969,0.9998,0.010002,usd-coin,USDC
2025-11-13,binance,BNB,USDC,39190.062,953.14,0.011049,usd-coin,USDC
2025-11-13,binance,SUI,USDC,25958629.6,1.9651,0.015088,usd-coin,USDC
2025-11-13,kraken,XBT,USDC,153.47230175,101590.11,0.01001,usd-coin,USDC
2025-11-13,binance,LTC,USDC,158729.053,97.49,0.010257,usd-coin,USDC
2025-11-13,binance,DOGE,USDC,94155931.0,0.16994,0.015882,usd-coin,USDC
2025-11-13,binance,ADA,USDC,33511768.6,0.5449,0.018352,usd-coin,USDC
2025-11-13,binance,HBAR,USDC,90843665.0,0.17381,0.015752,usd-coin,USDC
2025-11-13,kraken,ETH,USDC,2189.47606841,3406.55,0.010293,usd-coin,USDC
2025-11-13,binance,TAO,USDC,63017.0464,348.0,0.028686,usd-coin,USDC
2025-11-13,binance,LINK,USDC,2399735.49,15.14,0.066007,usd-coin,USDC
2025-11-13,binance,ICP,USDC,2191696.77,6.374,0.031368,usd-coin,USDC
2025-11-13,binance,TRUMP,USDC,755848.7,7.472,0.013383,usd-coin,USDC
2025-11-13,binance,UNI,USDC,1336810.89,7.568,0.026431,usd-coin,USDC
2025-11-13,binance,ZEC,USDC,49439.508,508.0,0.068956,usd-coin,USDC
2025-11-13,coinbase exchange,EURC,USDC,4414520.0,1.1589,0.018629,usd-coin,USDC
2025-11-13,binance,PENGU,USDC,283278132.0,0.014305,0.013966,usd-coin,USDC
2025-11-13,binance,PUMP,USDC,1952590680.0,0.003914,0.025549,usd-coin,USDC
